timestep,0,1,2,3,4,5,6,7,8,9
209,35,129.4,450.84,441.73,194.5,673.76,486.49,1030.9,202,1056.04
210,37,128.5,453.72,452.89,193.01,705.49,491.43,1001.7,231,1042.66
211,39,129,448.15,447.4,187.72,702.13,500.41,963.1,226,1026.82
212,44,130.9,441.04,447.33,185.31,734.49,439.97,918,219,519.07
213,44,131.9,433.38,439.97,183.51,726.52,427.43,897.2,213,504.73
214,45,129.5,421.34,441.44,181.69,707.14,420.11,908.2,203,509.07
215,48,128.4,415.64,435.48,180.04,650.05,418.99,923.4,168,507.15
216,48,128.4,419.29,440.59,180.15,593.33,416.82,897.5,158,501.29
217,43,127.7,414.69,444.51,181.02,593.1,415.54,896.1,155,483.52
218,42,127.5,406.99,438.4,179.04,590.96,412.71,891.5,156,486.55
219,42,127.5,400.21,434.74,179.18,613.41,424.73,905,161,498.5
220,39,127.3,400.58,432,178.09,626.16,417.1,886.9,163,491.06
221,43,127.6,409.76,440.32,179.19,743.85,412.79,856.8,171,478.27
222,48,128.4,409.92,451.13,181.6,854.88,433.15,860.1,232,638.8
223,53,130.4,416.58,463.8,183.83,889.73,438.26,864,261,627.6
224,55,132.2,419.56,466.47,186.53,791.52,448.82,899.7,242,625.87
225,56,133.5,428.66,467.23,187.34,705.94,417.53,905.7,219,442.26
226,54,133,429.42,460.42,187.64,683.98,457.46,906,201,737.02
227,52,131.4,434.41,465.92,189.37,680.9,455.59,903,207,739.86
228,50,131,441.23,454.51,189.89,667.42,456.97,930.6,193,741.37
229,41,131.5,445.5,445.31,190.63,662.64,422.67,957,193,455
230,44,130.1,442.97,444.9,191.7,677.24,419.02,966.7,194,449.17
231,37,132.4,435.45,449.33,194.55,658.82,418.99,959.5,188,439.96
232,39,134.4,438.59,463.8,195.77,647.78,412.63,967,201,439.24
233,41,134.6,448.27,458.56,195.69,667.36,482.44,973.7,218,913.96
234,41,132.5,449.53,472.18,194.98,700.07,480.4,964.8,219,945.77
235,40,133.6,443.78,479.05,194,705.6,484.75,940,190,978.29
236,32,133.4,441.41,485.5,192.73,688.05,418.43,930.5,215,539.59
237,43,132.3,438.71,472.87,192.1,673.01,419.68,918.9,220,571.26
238,38,131.4,440.1,467.14,190.53,632.23,419.56,928,178,590.28
239,39,131.5,431.13,458.94,189.48,595.34,415.8,910.8,161,605.36
240,35,131.4,441.71,463.48,189.53,548.98,417.36,911.7,147,602.47
241,31,131.2,436.54,459.15,189.04,540.31,419.14,910,146,599.63
242,30,133.4,442.95,469.94,188.89,521.44,430.53,927.1,145,585.98
243,30,134.4,439.7,466.82,188.86,525.88,428.13,923.3,147,588.26
244,30,135.1,442.98,471.5,192.84,546.94,429.68,940.2,149,570.01
245,31,137.6,452.4,467.43,196.11,663.8,428.18,953.4,156,567.68
246,36,139.7,459.12,478.28,205.81,771.99,456.87,1024.4,214,714.83
247,37,140.5,475.35,478.78,215.79,783.15,454.75,1036.7,227,692.89
248,40,138.5,472.7,483.5,213.49,682.6,451.88,1035,209,671.52
249,37,140,476.1,477.98,213.54,595.49,423.38,979.8,177,479.76
250,38,140.6,476.89,487.23,214.14,574.7,457.57,961.2,175,757.91
251,34,138.8,483.94,486.4,215.15,576.87,454.9,943.5,156,749.79
252,32,135,477.99,481.59,215.58,548.71,449.03,943.8,164,729.32
253,29,133.8,481.17,478.04,215.47,537.05,400.73,930.3,186,440.55
254,28,132.9,476.77,475.13,216.98,529.38,395.78,942.9,152,427.21
255,31,134.1,477.5,488.11,216.57,538.78,397.75,929,169,432.91
256,27,136.9,466.94,482.79,210.84,556.74,407.63,961.3,171,416.23
257,34,137.7,458.54,477.46,206.99,603.63,478.01,963.3,184,876.33
258,35,136.3,461.34,463.04,202.44,630.92,477.53,971.6,196,876.91
259,35,135.9,460.51,457,200.01,682.11,476.95,926.4,181,892.49
260,34,134.4,453.81,452.58,196.96,666.49,412.65,898.5,200,418.78
261,29,134,444.92,443.07,195.39,669.62,413.64,898,209,408.08
262,30,133.4,435.93,448.09,192.13,612.88,408.42,878.5,170,404.63
263,29,132.2,437.38,439.8,192.3,564.36,401.98,836.5,150,397.79
264,24,130,434.75,451.11,191.02,521.32,404.87,785.4,123,399.92
265,24,130.7,435.11,454.43,187.87,505.81,402.48,773.8,130,389
266,24,130.5,441.31,458.41,187.97,513.49,406.51,811.4,128,393.03
267,24,129.2,435.8,453.4,186.7,524.37,401.49,829.2,131,389.39
268,25,128.3,441.14,439.78,188.11,544.07,412.89,848.4,136,407.36
269,26,128.5,440.73,448.29,190.09,623.46,413.29,860,143,426.64
270,32,130.3,456.78,448.48,199.65,722.04,447.69,918.4,201,623.52
271,34,133,463.74,459.09,208.19,733.72,450.7,983.3,227,629.34
272,36,137.1,473.55,465.71,211.77,675.98,459.41,1069.2,215,663.33
273,38,134.7,471.52,470.12,211.56,615.67,437.71,1116.4,167,510.16
274,36,133.9,467.34,461.93,211.95,615.73,471.69,1128.9,165,798.12
275,37,132.6,476.27,459.06,212,616.32,471.47,1105.1,174,802.3
276,38,131.5,478.7,450.36,213.16,591.49,463.69,1080,165,819.57
277,36,130.9,492.11,453.65,213.54,586.68,425.41,1096.9,168,569.95
278,31,131.2,482.73,448.73,214.62,582.24,424.7,1139.8,164,603.19
279,31,129.5,476.06,453.67,215.35,599.53,438.95,1177.7,167,626.53
280,31,129.3,465.1,463.4,211.4,621.17,445.63,1188.9,186,640.04
281,36,129.8,458.73,468.84,206.23,647.47,508.07,1166.5,196,1104.19
282,36,128.6,465.06,465.97,203.64,692.53,504.68,1147.9,218,1093.71
283,37,128,462.86,455.04,202.3,699.4,502.51,1114,187,1091.43
284,37,127.8,455.69,444.77,200.34,716.41,441.87,1071.2,178,613.6
285,37,126.6,447.25,442.07,197.66,662.41,438.96,1030,181,609.31
286,38,124.5,444.7,435.48,195.61,622.6,436.06,998.6,173,614.64
287,37,123.2,444.49,426.62,192.08,584.72,438.58,958.3,171,621.22
288,35,120.9,442.82,425.17,189,559.38,430.36,930.1,167,616.25
289,33,122.5,439.14,421.22,186.76,548.32,430.65,899.6,146,620.14
290,30,122.5,435.26,415.99,186.63,529.44,427.4,909.8,141,608.68
291,25,121.9,429.85,418.69,186.75,536.74,445.32,901.7,142,591.53
292,31,121.5,433.33,417.45,188.49,547.75,439.78,948.7,141,570.26
293,25,121.7,443.3,426.35,192.24,563.85,437.06,995.7,146,575.04
294,30,122.1,464.71,423.15,201.75,569.74,442.2,1069.1,151,780.89
295,29,123.8,478.4,426.05,212.53,585.19,451.19,1095,165,805.93
296,27,125,491.2,423.92,217.37,618.18,446.2,1075.6,191,776.86
297,43,125.1,490.5,429.76,217.74,686.17,424.41,1038.8,195,553.44
298,40,125,483.93,439.44,218.24,771.75,464.82,998,238,750.26
299,40,123.7,479.82,441.12,219.22,836.11,466.62,985.7,237,722.29
300,38,122.7,470.96,431.9,219.32,835.42,464.09,1005.9,199,715.37
301,39,122.4,480.86,414.25,221.22,768.78,420.43,1041.7,203,454.91
302,39,121.8,491.68,416.89,223.51,690.38,418.71,1052.6,183,466.9
303,33,122,498.91,417.12,214.7,697.99,417.08,1067.7,189,471.08
304,41,123.1,494.53,421.16,216.38,714.25,414.68,1054.5,200,471.5
305,38,123.3,487.08,425.37,211.61,734.92,484.7,1054.5,203,925.49
306,39,123.7,488.74,427.25,210.16,723.15,504.65,1013.4,202,938.54
307,38,123.5,485.23,425.14,208.84,693.6,510.61,975.8,190,944.78
308,37,122.9,472.28,412.71,207.78,666.04,444.13,974.5,188,496.84
309,35,122.9,467.94,414.35,203.89,604.74,421.82,966,184,493.14
310,33,122.3,461.78,416.19,201.38,603.9,417.57,969.5,172,508.93
311,26,121.1,469.58,420.93,198.74,574.2,421.09,929.7,161,516.36
312,32,119.8,453.23,416.83,194,563.89,431.29,931.6,140,515.1
313,28,119.2,450.15,422.06,192.02,529.75,436.02,935.4,137,502.57
314,21,119.3,441.63,416.13,191.57,526.77,433.1,959.4,140,501.82
315,30,119.4,446.49,415.09,190.51,521.44,436.42,975.8,138,516.21
316,28,117.8,444.78,411.3,192.71,530.62,425.16,1001.5,137,526.06
317,29,117.3,443.57,410,193.42,541.24,430.5,1026.5,139,542.52
318,30,117.3,461.08,417.31,197.37,547.48,457.2,1046.9,145,720.92
319,24,119,470.79,413.09,203.25,576.62,469.9,1070.5,156,733.81
320,31,122.4,476.29,419.42,207.38,631.65,463.62,1097.1,177,721.66
321,33,124.2,469.08,410.19,210.03,794.87,435.64,1108.5,187,539.92
322,36,123.7,476.99,418.74,209.91,812.46,475.61,1125.5,195,797.4
323,35,123.6,489.34,421.16,212.92,786.86,475.97,1149.1,233,814.13
324,37,123.6,494.26,432.62,213.34,690.84,474.45,1176.1,216,855.77
325,35,123.9,487.93,433.29,213.94,716.56,430.02,1190.2,211,630.16
326,37,124.6,487.63,433.42,215.5,728.06,434.49,1217.6,174,647.66
327,38,125.2,484.06,425.95,214.2,744.08,435.96,1235.7,212,651.2
328,39,126.5,482.4,424.21,208.99,747.17,439.77,1266.9,179,660.17
329,33,127.2,473.99,435.45,206.58,760.8,520.04,1276.4,209,1099.13
330,41,126.5,466.66,445.86,203.35,769.65,534.54,1293,232,1121.01
331,39,126,462.87,448.38,200.75,761.48,538.18,1278.6,235,1142.85
