thermal_demand,co2_price,gas_price,electricity_price,wp_price
0.668722123,82.25,91.43,195.91,24.94
0.67851018,82.25,91.43,186.66,24.94
0.674015773,82.25,91.43,178.04,24.94
0.692185145,82.25,91.43,191.65,24.94
0.759457876,82.25,91.43,237.44,24.94
0.775625552,82.25,91.43,299.95,24.94
0.764778407,82.25,91.43,313.92,24.94
0.710209363,82.25,91.43,315,24.94
0.761601141,82.25,91.43,310.41,24.94
0.76330536,82.25,91.43,310.08,24.94
0.762685318,82.25,91.43,300,24.94
0.706820638,82.25,91.43,297.01,24.94
0.709607241,82.25,91.43,299.96,24.94
0.701399753,82.25,91.43,306.45,24.94
0.705917456,82.25,91.43,302.73,24.94
0.812430223,82.25,91.43,315.47,24.94
0.824374089,82.25,91.43,310.82,24.94
0.822374186,82.25,91.43,294.98,24.94
0.73053992,82.25,91.43,267.45,24.94
0.731475359,82.25,91.43,242.29,24.94
0.719542244,82.25,91.43,217.03,24.94
0.705763341,82.25,91.43,195.83,24.94
0.696853378,82.25,88.498,210.34,24.94
0.692083,82.25,88.498,202.42,24.94
0.694452061,82.25,88.498,197.6,24.94
0.693935957,82.25,88.498,193,24.94
0.700369337,82.25,88.498,194.9,24.94
0.726416464,82.25,88.498,204.45,24.94
0.806591796,82.25,88.498,237.13,24.94
0.813922982,82.25,88.498,298.68,24.94
0.788167956,82.25,88.498,302.02,24.94
0.716820154,82.25,88.498,297.16,24.94
0.767568594,82.25,88.498,277.02,24.94
0.759703384,82.25,88.498,266.43,24.94
0.748533673,82.25,88.498,254.92,24.94
0.686724836,82.25,88.498,248.89,24.94
0.67685793,82.25,88.498,255.01,24.94
0.683608499,82.25,88.498,277.9,24.94
0.687667443,82.25,88.498,289.94,24.94
0.792069201,82.25,88.498,316.4,24.94
0.797645992,82.25,88.498,315.9,24.94
0.79698115,82.25,88.498,309.2,24.94
0.693186889,82.25,88.498,285.33,24.94
0.688984583,82.25,88.498,245.44,24.94
0.665555609,82.25,88.498,237.27,24.94
0.641780774,82.25,88.498,212.49,24.94
0.621007586,82.25,82.675,196.65,24.94
0.615239048,82.25,82.675,187.1,24.94
0.626245683,82.25,82.675,184.27,24.94
0.628025167,82.25,82.675,179.58,24.94
0.639942153,82.25,82.675,178.33,24.94
0.663050354,82.25,82.675,193.5,24.94
0.749042609,82.25,82.675,240.56,24.94
0.774528831,82.25,82.675,273.18,24.94
0.789755693,82.25,82.675,300.1,24.94
0.747784605,82.25,82.675,292.74,24.94
0.804720919,82.25,82.675,275.5,24.94
0.803925258,82.25,82.675,258.65,24.94
0.794131825,82.25,82.675,245.11,24.94
0.747838366,82.25,82.675,232.08,24.94
0.756631848,82.25,82.675,234.77,24.94
0.773312044,82.25,82.675,240.01,24.94
0.785255911,82.25,82.675,255,24.94
0.882005709,82.25,82.675,284.82,24.94
0.888145197,82.25,82.675,285.97,24.94
0.874427223,82.25,82.675,269.03,24.94
0.768185052,82.25,82.675,235.25,24.94
0.747680668,82.25,82.675,191.5,24.94
0.731719075,82.25,82.675,193.69,24.94
0.716311218,82.25,82.675,172.18,24.94
0.701754575,82.25,79.105,173.14,24.94
0.689452302,82.25,79.105,161.69,24.94
0.682171293,82.25,79.105,153.58,24.94
0.680877449,82.25,79.105,147.07,24.94
0.688006136,82.25,79.105,152.47,24.94
0.703593195,82.25,79.105,171.26,24.94
0.762443394,82.25,79.105,192.03,24.94
0.783490763,82.25,79.105,215.24,24.94
0.787117828,82.25,79.105,235.9,24.94
0.753354228,82.25,79.105,219.99,24.94
0.811688323,82.25,79.105,180.08,24.94
0.815655873,82.25,79.105,170.16,24.94
0.806889272,82.25,79.105,152.53,24.94
0.74665742,82.25,79.105,134.13,24.94
0.73553251,82.25,79.105,171.01,24.94
0.73985309,82.25,79.105,201.59,24.94
0.743888737,82.25,79.105,205.38,24.94
0.840097343,82.25,79.105,220.3,24.94
0.836982798,82.25,79.105,212.76,24.94
0.82352646,82.25,79.105,210,24.94
0.720785912,82.25,79.105,192.69,24.94
0.701360328,82.25,79.105,164.46,24.94
0.700064692,82.25,79.105,164.2,24.94
0.687905782,82.25,79.105,122.09,24.94
0.680565636,82.25,79.105,120.04,24.94
0.672399364,82.25,79.105,110.03,24.94
0.67213952,82.25,79.105,108.24,24.94
0.679063916,82.25,79.105,107.46,24.94
0.683646132,82.25,79.105,109.82,24.94
0.694061398,82.25,79.105,140.52,24.94
0.741999939,82.25,79.105,176.04,24.94
0.759275089,82.25,79.105,190.97,24.94
0.77908775,82.25,79.105,216.99,24.94
0.772799524,82.25,79.105,196.91,24.94
0.837111824,82.25,79.105,162.92,24.94
0.849614804,81.7,79.105,160.04,24.94
0.844758408,81.52,79.105,154.01,24.94
0.801394915,81.52,79.105,152.29,24.94
0.806405425,81.52,79.105,186.94,24.94
0.818302699,81.52,79.105,217.18,24.94
0.819693312,81.52,79.105,224.91,24.94
0.921387316,81.52,79.105,262,24.94
0.93787039,81.52,79.105,260.04,24.94
0.937787956,81.52,79.105,234.32,24.94
0.858098264,81.52,79.105,215.04,24.94
0.834846701,81.52,79.105,204.39,24.94
0.824445771,81.52,79.105,194.29,24.94
0.79865132,81.52,79.105,184.9,24.94
0.792995679,81.52,89.824,222.01,24.94
0.788216341,81.52,89.824,205.08,24.94
0.784340184,81.52,89.824,194.62,24.94
0.779275913,81.52,89.824,182.64,24.94
0.795995534,81.52,89.824,187.83,24.94
0.835341301,81.52,89.824,190.58,24.94
0.914461128,81.52,89.824,190.27,24.94
0.943015302,81.52,89.824,204.46,24.94
0.932592867,81.52,89.824,212.84,24.94
0.891216733,81.52,89.824,230,24.94
0.939339853,81.52,89.824,222.39,24.94
0.915935967,81.52,89.824,214.92,24.94
0.912658348,81.52,89.824,208.43,24.94
0.846170526,81.52,89.824,200,24.94
0.837124369,81.52,89.824,203.09,24.94
0.827718014,81.52,89.824,213.98,24.94
0.829001106,81.52,89.824,226.32,24.94
0.934304254,81.52,89.824,260,24.94
0.945307306,81.52,89.824,267.03,24.94
0.937712691,81.52,89.824,261.41,24.94
0.836337668,81.52,89.824,243.62,24.94
0.824836433,81.52,89.824,220.1,24.94
0.791739468,81.52,89.824,212.85,24.94
0.760617318,81.52,89.824,209.41,24.94
0.737224184,81.52,89.824,225.92,24.94
0.724724789,81.52,89.824,216,24.94
0.721832456,81.52,89.824,189.49,24.94
0.718355922,81.52,89.824,181.98,24.94
0.726411088,81.52,89.824,174.98,24.94
0.741236535,81.52,89.824,165.91,24.94
0.798300082,81.52,89.824,118.71,24.94
0.808640084,81.52,89.824,119.45,24.94
0.783239879,81.52,89.824,125.86,24.94
0.741632573,81.52,89.824,129.46,24.94
0.791056705,81.52,89.824,125.99,24.94
0.789379367,81.52,89.824,131.83,24.94
0.776225882,81.52,89.824,123.01,24.94
0.726342991,81.52,89.824,122.49,24.94
0.72847192,81.52,89.824,102.67,24.94
0.732921525,81.52,89.824,121.95,24.94
0.738188296,81.52,89.824,115,24.94
0.840355395,81.52,89.824,125.42,24.94
0.844926858,81.52,89.824,112.4,24.94
0.846944682,81.52,89.824,97.49,24.94
0.743768671,81.52,89.824,90.14,24.94
0.74588864,81.52,89.824,97.09,24.94
0.72373559,81.52,89.824,93.85,24.94
0.705134339,81.52,89.824,87.2,24.94
0.697657999,81.52,90.021,78.08,24.94
0.69468144,81.52,90.021,34,24.94
0.691242538,81.52,90.021,12.33,24.94
0.692169017,81.52,90.021,10.09,24.94
0.697837201,81.52,90.021,12.83,24.94
0.721022459,81.52,90.021,36.16,24.94
0.785143013,81.52,90.021,92.03,24.94
0.798473909,81.52,90.021,102.8,24.94
0.782969283,81.52,90.021,126,24.94
0.731797924,81.52,90.021,100.9,24.94
0.783420874,81.52,90.021,112.03,24.94
0.778725761,81.52,90.021,111.25,24.94
0.774308412,81.52,90.021,100.58,24.94
0.720904186,81.52,90.021,111.65,24.94
0.72768522,81.52,90.021,127.38,24.94
0.737453564,81.52,90.021,168.85,24.94
0.7451557,81.52,90.021,199.85,24.94
0.857248843,81.52,90.021,249.99,24.94
0.864864962,81.52,90.021,254.37,24.94
0.872590394,81.52,90.021,237.28,24.94
0.763812504,81.52,90.021,220,24.94
0.757474101,81.52,90.021,215.94,24.94
0.72824254,81.52,90.021,209.16,24.94
0.710083921,81.52,90.021,180,24.94
0.702609372,81.52,80.637,188.94,24.94
0.701835216,81.52,80.637,192.68,24.94
0.698014612,81.52,80.637,180.09,24.94
0.701871056,81.52,80.637,188.09,24.94
0.710175314,81.52,80.637,193.99,24.94
0.745512314,81.52,80.637,205.07,24.94
0.819596543,81.52,80.637,229.1,24.94
0.838885932,81.52,80.637,273.71,24.94
0.812044937,81.52,80.637,294.4,24.94
0.755226898,81.52,80.637,290.64,24.94
0.809735013,81.52,80.637,275.4,24.94
0.806742326,81.52,80.637,265.1,24.94
0.801937899,81.52,80.637,250,24.94
0.732383917,81.52,80.637,244.27,24.94
0.721375489,81.52,80.637,243.02,24.94
0.719544036,81.52,80.637,249.22,24.94
0.728588402,81.52,80.637,260,24.94
0.823458363,81.52,80.637,278,24.94
0.83595059,81.52,80.637,276.39,24.94
0.833622746,81.52,80.637,255.03,24.94
0.755633688,81.52,80.637,237.28,24.94
0.746299014,81.52,80.637,224.19,24.94
0.73603607,81.52,80.637,190.78,24.94
0.721223167,81.52,80.637,175.49,24.94
0.705460488,81.52,78.242,169.01,24.94
0.695478893,81.52,78.242,163.48,24.94
0.694285402,81.52,78.242,162.93,24.94
0.691145769,81.52,78.242,160.01,24.94
0.705467657,81.52,78.242,163.16,24.94
0.722336016,81.52,78.242,165.59,24.94
0.791726924,81.52,78.242,198.39,24.94
0.812440975,81.52,78.242,227.42,24.94
0.80188593,81.52,78.242,261.65,24.94
0.744021347,81.52,78.242,252.67,24.94
0.784935138,81.52,78.242,221.75,24.94
0.782186167,81.52,78.242,193.62,24.94
0.769086442,81.52,78.242,170.14,24.94
0.710585689,81.52,78.242,160.47,24.94
0.707282981,81.52,78.242,164.13,24.94
0.724282158,81.52,78.242,180.5,24.94
0.739206167,81.52,78.242,179.26,24.94
0.842880362,81.52,78.242,173.99,24.94
0.843871354,81.52,78.242,167.34,24.94
0.841240657,81.52,78.242,135.61,24.94
0.739587869,81.52,78.242,125.05,24.94
0.726577746,81.52,78.242,120.9,24.94
0.71565892,81.52,78.242,118.08,24.94
0.698688415,81.52,78.242,97.16,24.94
0.689335821,81.52,74.748,90.05,24.94
0.677483348,81.52,74.748,78.94,24.94
0.676408131,81.52,74.748,75.05,24.94
0.669283028,81.52,74.748,72.13,24.94
0.672361732,81.52,74.748,70.99,24.94
0.681884568,81.52,74.748,87.7,24.94
0.733704642,81.52,74.748,96.26,24.94
0.754535175,81.52,74.748,118.95,24.94
0.77140891,81.52,74.748,140.51,24.94
0.754441989,81.52,74.748,130.27,24.94
0.825662558,81.52,74.748,128.47,24.94
0.808177741,81.52,74.748,111.95,24.94
0.802808825,81.52,74.748,94.15,24.94
0.723495458,81.52,74.748,85.54,24.94
0.731357085,81.52,74.748,105.37,24.94
0.741035828,81.52,74.748,111.32,24.94
0.760271456,81.52,74.748,134.86,24.94
0.868151541,81.52,74.748,176.05,24.94
0.874032977,81.52,74.748,192.74,24.94
0.860841859,81.52,74.748,180,24.94
0.742818896,81.52,74.748,152.33,24.94
0.721733895,81.52,74.748,137.91,24.94
0.714451093,81.52,74.748,131.76,24.94
0.703112932,81.52,74.748,121.39,24.94
0.697507468,81.52,74.4,119.19,24.94
0.682153373,81.52,74.4,117.87,24.94
0.671766778,81.52,74.4,110.92,24.94
0.670245347,81.52,74.4,113.14,24.94
0.675793465,81.52,74.4,119.15,24.94
0.680707206,81.52,74.4,120.73,24.94
0.724162093,81.52,74.4,148.76,24.94
0.738532365,81.52,74.4,207.59,24.94
0.758787657,81.52,74.4,223.15,24.94
0.739797537,81.52,74.4,215.79,24.94
0.789651755,81.52,74.4,206.51,24.94
0.7876411,83.4,74.4,206.43,24.94
0.757271602,84.03,74.4,190,24.94
0.684459713,84.03,74.4,170.08,24.94
0.670582248,84.03,74.4,169.29,24.94
0.685796565,84.03,74.4,190,24.94
0.704854783,84.03,74.4,177.44,24.94
0.822537261,84.03,74.4,179.99,24.94
0.834547432,84.03,74.4,165.05,24.94
0.819897604,84.03,74.4,145.81,24.94
0.713986958,84.03,74.4,139.73,24.94
0.69466352,84.03,74.4,132.25,24.94
0.682630052,84.03,74.4,133.59,24.94
0.667030448,84.03,74.4,120.01,24.94
0.656082949,84.03,79.12,123.58,24.94
0.655036405,84.03,79.12,120.3,24.94
